date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2000-04-01,USA,USD,United States,2.24,1.0,2.24,0.0,-0.05914,-0.25383,-0.19238,0.87345,34496.241,2.41596172647073,0.0,-0.16711,-0.33044,-0.209,0.4066
2001-04-01,USA,USD,United States,2.24,1.0,2.24,0.0,-0.00955,-0.21285,-0.05524,0.87345,36312.782,2.38936782233004,0.0,-0.16854,-0.33289,-0.09438,0.22782
2002-04-01,USA,USD,United States,2.35,1.0,2.35,0.0,-0.01107,-0.18558,0.16603,0.85314,37101.453,2.47110121287158,0.0,-0.14512,-0.28276,0.17003,0.30614
2003-04-01,USA,USD,United States,2.46,1.0,2.46,0.0,-0.17477,-0.21761,0.12672,1.05745,37945.761,2.76115265784139,0.0,-0.30193,-0.31831,0.13453,0.34052
2004-05-01,USA,USD,United States,2.47,1.0,2.47,0.0,-0.24878,-0.26602,0.06531,0.9665,39405.354,2.86125227998456,0.0,-0.34854,-0.3337,0.05939,0.39456
2005-06-01,USA,USD,United States,2.58,1.0,2.58,0.0,-0.27996,-0.25009,0.1013,1.03363,41641.617,3.37418630281442,0.0,-0.4063,-0.32998,0.11297,0.29875
2006-01-01,USA,USD,United States,2.67,1.0,2.67,0.0,-0.24014,-0.19485,0.22078,1.05059,41641.617,3.11706333195611,0.0,-0.34384,-0.25835,0.24527,0.44751
2006-05-01,USA,USD,United States,2.78,1.0,2.78,0.0,-0.262,-0.23793,0.24661,1.12498,44034.256,3.45471726763589,0.0,-0.37642,-0.30629,0.27048,0.41961
2007-01-01,USA,USD,United States,2.89,1.0,2.89,0.0,-0.24131,-0.24617,0.25493,1.04252,44034.256,3.52432824871064,0.0,-0.34348,-0.30068,0.24532,0.42021
2007-06-01,USA,USD,United States,3.0,1.0,3.0,0.0,-0.28004,-0.25134,0.31052,1.07401,46216.853,3.72889853710977,0.0,-0.38163,-0.30614,0.2974,0.42543
2008-06-01,USA,USD,United States,3.21,1.0,3.21,0.0,-0.39918,-0.29767,0.22502,0.75497,47943.353,4.25448664286905,0.0,-0.47637,-0.35441,0.22853,0.27684
2009-07-01,USA,USD,United States,3.43,1.0,3.43,0.0,-0.25711,-0.07003,-0.00782,0.87489,48470.553,3.93017989283556,0.0,-0.35638,-0.13947,-0.0391,0.28163
2010-01-01,USA,USD,United States,3.43,1.0,3.43,0.0,-0.2919,-0.06573,-0.01881,0.87338,48470.553,4.34608733417107,0.0,-0.40104,-0.14417,-0.05359,0.20694
2010-07-01,USA,USD,United States,3.53,1.0,3.53,0.0,-0.18523,0.01333,-0.0383,0.81231,47102.428,4.12450774685709,0.0,-0.27967,-0.04553,-0.06572,0.33117
2011-07-01,USA,USD,United States,3.64,1.0,3.64,0.0,-0.26142,-0.06466,-0.1086,0.60135,48586.288,5.04435398738131,0.0,-0.36201,-0.13311,-0.13263,0.09971
2012-01-01,USA,USD,United States,3.81,1.0,3.81,0.0,-0.14009,-0.0035,-0.08417,0.56247,48586.288,4.61969861399818,0.0,-0.25377,-0.07679,-0.09433,0.06064
2012-07-01,USA,USD,United States,3.96,1.0,3.96,0.0,-0.08849,-0.04862,-0.03203,0.61652,50008.108,4.31111409674444,0.0,-0.17967,-0.11159,-0.04249,0.23165
2013-01-01,USA,USD,United States,4.03,1.0,4.03,0.0,-0.17385,-0.05136,0.14685,0.56676,50008.108,4.78538401251372,0.0,-0.26758,-0.12019,0.13904,0.13114
2013-07-01,USA,USD,United States,4.18,1.0,4.18,0.0,-0.10289,0.03978,0.30762,0.60253,51736.738,4.5875246296217,0.0,-0.20574,-0.02831,0.30345,0.1673
2014-01-01,USA,USD,United States,4.24,1.0,4.24,0.0,-0.14548,-0.0836,0.4258,0.54563,51736.738,4.80800143502271,0.0,-0.25447,-0.15726,0.44617,0.07139
2014-07-01,USA,USD,United States,4.29,1.0,4.29,0.0,-0.13395,-0.12896,0.1772,0.57341,53363.904,4.91250584204455,0.0,-0.24512,-0.20283,0.11916,0.1096
2015-01-01,USA,USD,United States,4.29,1.0,4.29,0.0,0.00614,-0.01791,0.36544,0.54926,53363.904,4.43549285091878,0.0,-0.12156,-0.10023,0.2989,0.09577
2015-07-01,USA,USD,United States,4.29,1.0,4.29,0.0,0.05824,-0.0493,0.43698,0.56691,55263.817,4.28375686447724,0.0,-0.07842,-0.12647,0.36263,0.12591
2016-01-01,USA,USD,United States,4.29,1.0,4.29,0.0,0.07277,0.01614,0.37564,0.59856,55263.817,4.18820706719743,0.0,-0.08904,-0.07929,0.29331,0.07314
2016-07-01,USA,USD,United States,4.5,1.0,4.5,0.0,0.06999,0.14207,0.29801,0.61565,57006.926,4.32182242253648,0.0,-0.06054,0.05368,0.25474,0.17592
2017-01-01,USA,USD,United States,4.5,1.0,4.5,0.0,0.10789,0.20695,0.38156,0.59029,57006.926,4.20816230904643,0.0,-0.03081,0.10324,0.32423,0.15238
2017-07-01,USA,USD,United States,4.5,1.0,4.5,0.0,0.00783,0.09451,0.33887,0.54261,58179.697,4.51791423792798,0.0,-0.11873,-0.00537,0.28006,0.12385
2018-01-01,USA,USD,United States,4.61,1.0,4.61,0.0,-0.04669,0.04463,0.34327,0.45351,58179.697,4.80430897578199,0.0,-0.16895,-0.04839,0.29185,0.03975
2018-07-01,USA,USD,United States,4.62,1.0,4.62,0.0,-0.0243,0.0918,0.31788,0.49237,60292.978,4.57234354609444,0.0,-0.15951,-0.00786,0.24713,0.05742
2019-01-01,USA,USD,United States,4.71,1.0,4.71,0.0,0.01467,0.1564,0.30962,0.54364,60292.978,4.5715764852312,0.0,-0.12513,0.05487,0.24605,0.08291
2019-07-09,USA,USD,United States,4.71,1.0,4.71,0.0,0.03013,0.14841,0.31355,0.54412,63165.278,4.51126722526941,0.0,-0.10594,0.04016,0.23962,0.12557
2020-01-14,USA,USD,United States,4.82,1.0,4.82,0.0,0.05193,0.09292,0.35998,0.54352,63165.278,4.5991399887823,0.0,-0.0856,-0.01339,0.29207,0.11977
2020-07-01,USA,USD,United States,4.82,1.0,4.82,0.0,0.00707,0.12687,0.32581,0.55562,65561.32,4.71692407210279,0.0,-0.14417,0.00511,0.23884,0.09174
2021-01-01,USA,USD,United States,4.89,1.0,4.89,0.0,-0.05305,0.10192,0.3077,0.41354,65561.32,4.7706843665822,0.0,-0.17731,0.0096,0.23763,0.04022
2021-07-01,USA,USD,United States,4.93,1.0,4.93,0.0,-0.02301,0.0378,0.38969,0.42611,64518.063,4.78369614365218,0.0,-0.15749,-0.0749,0.31273,0.05639
2022-01-01,USA,USD,United States,5.04,1.0,5.04,0.0,0.01719,0.0464,0.48906,0.31481,64518.063,4.74718049816618,0.0,-0.11794,-0.06347,0.41962,-0.01707
2022-07-01,USA,USD,United States,5.15,1.0,5.15,0.0,0.08078,0.15991,0.82053,0.44787,71365.337,4.54710054929617,0.0,-0.04295,0.05694,0.73102,0.15841
2023-01-01,USA,USD,United States,5.36,1.0,5.36,0.0,0.02464,0.14844,0.70082,0.5151,71365.337,4.91242673352171,0.0,-0.07427,0.06407,0.62659,0.26109
2023-07-01,USA,USD,United States,5.58,1.0,5.58,0.0,-0.04148,0.03504,0.76179,0.59444,77944.095,5.1886640916884,0.0,-0.13803,-0.04702,0.65092,0.33217
2024-01-01,USA,USD,United States,5.69,1.0,5.69,0.0,-0.03022,-0.00357,0.86961,0.63902,77944.095,5.27065764616787,0.0,-0.13599,-0.0963,0.74861,0.3494
2024-07-01,USA,USD,United States,5.69,1.0,5.69,0.0,-0.06102,-0.03488,0.78358,0.61275,82523.258,5.38050970439662,0.0,-0.17166,-0.12966,0.64535,0.31761
2025-01-01,USA,USD,United States,5.79,1.0,5.79,0.0,-0.02737,0.01122,0.86191,0.64569,82523.258,5.36147023161753,0.0,-0.14102,-0.08521,0.72346,0.34718
2026-01-01,USA,USD,United States,6.12,1.0,6.12,0.0,-0.13241,-0.1357,1.02145,0.67105,86144.797,6.19570568065165,0.0,-0.25032,-0.24208,0.86937,0.33367
